Blue Rockfish,Sebastes mystinus,BLU
Kelp Rockfish,Sebastes atrovirens,KR
Black Rockfish,Sebastes melanops,BLK
Gopher Rockfish,Sebastes carnatus,GOR
Black and Yellow Rockfish,Sebastes chrysomelas,BYR
Olive Yellowtail Rockfish,Sebastes serranoides,OYR
Copper Rockfish,Sebastes caurinus,COR
Vermilion Rockfish,Sebastes miniatus,VRR
Grass Rockfish,Sebastes restrelliger,GRR
Treefish-Adult,Sebastes serriceps,TREA
Treefish-Juvenile,Sebastes serriceps,TREJ
Brown Rockfish,Sebastes auriculatus,BRR
China Rockfish,Sebastes nebulosus,CHR
Striped Perch,Embiotoca lateralis,STP
Black Perch,Embiotoca jacksoni,BLP
Rainbow Perch,Hypsurus caryi,RAP
Pile Perch,Rhacochilus vacca,PIP
Rubberlip Perch,Rhacochilus toxotes,RUB
Kelp Greenling-Male,Hexagrammos decagrammus,KGM
Kelp Greenling-Female,Hexagrammos decagrammus,KGF
Kelp Greenling-Juvenile,Hexagrammos decagrammus,KGJ
Sheephead-Male,Semicossyphus pulcher,SHM
Sheephead-Female,Semicossyphus pulcher,SHF
Sheephead-Juvenile,Semicossyphus pulcher,SHJ
Senorita,Oxyjulis californica,SEN
Rock Wrasse-Male,Halichoeres semicinctus,RWM
Rock Wrasse-Female,Halichoeres semicinctus,RWF
Rock Wrasse-Juvenile,Halichoeres semicinctus,RWJ
Kelp Bass,Paralabrax clathratus,KB
Barred Sand Bass,Paralabrax nebulifer,BSB
Garibaldi-Adult,Hypsypops rubicundus,GARA
Garibaldi-Juvenile,Hypsypops rubicundus,GARJ
Blacksmith,Chromis punctipinnis,BSB
Opaleye,Girella nigricans,OPE
Sargo,Anisotremus davidsonii,SAR
Halfmoon,Medialuna californiensis,HFM
Largemouth Blenny,Labrisomus xanti,LMB
Finescale Triggerfish,Balistes polylepis,RGF
Lingcod,Ophiodon elongatus,LIN
Cabezon,Scorpaenichthys marmoratus,CAB
Horn Shark,Heterodontus francisci,HS
Giant Sea Bass,Stereolepis gigas,GSB
Bull Kelp,Nereocystis luetkeana,BK
Woody Kelp,Pterygophora californica,WD
Southern Sea Palm,Eisenia arborea,SP
Torn Kelp,Laminaria setchellii,TN
Oar Kelp,Laminaria farlowii,OR
Horn Weed,Sargassum horneri,HW
Giant Kelp,Macrocystis pyrifera,GK
Feather Boa Kelp,Egregia menziesii,FB
Wire Weed,Sargassum muticum,WW
Wakame,Undaria,Present/Absent
Running Weed,Caulerpa,Present/Absent
Red Abalone,Haliotis rufescens,RDA
Flat Abalone,Haliotis walallensis,FLA
Pinto Abalone,Haliotis kamtschatkana,PTA
Black Abalone,Haliotis cracherodii,Present/Absent
Green Abalone,Haliotis fulgens,GRA
Pink Abalone,Haliotis corrugata,PKA
White Abalone,Haliotis sorenseni,Present/Absent
California Spiny Lobster,Panulirus interruptus,LOB
California Sea Cucumber,Parastichopus californicus,CAC
Warty Sea Cucumber,Parastichopus parvimensis,WTC
Bat Star,Patiria miniata,BTS
Leather Star,Dermasterias imbricata,LHS
Short Spined Sea Star,Pisaster brevispinus,SSS
Giant Spined Sea Star,Pisaster giganteus,GSS
Ochre Star,Pisaster ochraceus,OCS
Sunflower Star,Pycnopodia helianthoides,SFS
Sun Star,Solaster spp,SNS
Chestnut Cowrie,Neobernaya spadicea,CNC
Kellet's Whelk,Kelletia kelletii,KLW
Rock Crab,"Cancer productus, Metacarcinus anthonyi, Romaleon antennarius",RCC
Sheep Crab,Loxorhynchus grandis,SMC
Masking Crab,L. crispatus,SMC
Wavy Red Turban Snail,"Megastraea undosa, Pomaulax gibberosus",WRS
Giant Keyhole Limpet,Megathura crenulata,KHL
Gumboot Chiton,Cryptochiton stelleri,GBC
Rock Scallop,Crassedoma gigantea,RKS
California Sea Hare,Aplysia californica,CSH
Black Sea Hare,Aplysia vaccaria,BSH
Red Urchin,Mesocentrotus franciscanus,RDU
Purple Urchin,Strongylocentrotus purpuratus,PPU
Crowned Urchin,Centrostephanus coronatus,CRU
Starry Urchin,Arbacia stellata,STU
California Golden/Brown Gorgonian,"Muricea californica, M. fruticosa",BGG
Red Gorgonian,Lophogorgia chilensis,RDG
Large Anemone,Order Actinaria,LGA
