Blue Rockfish,Sebastes mystinus,BLU
Deacon Rockfish,Sebastes diaconus,DCR
Black Rockfish,Sebastes melanops,BLK
Black and Yellow Rockfish,Sebastes chrysomelas,BYR
Puget Sound Rockfish,Sebastes emphaeus,PSR
Olive Yellowtail Rockfish,Sebastes serranoides,YTR
Gopher Rockfish,Sebastes carnatus,GOR
Grass Rockfish,Sebastes rastrelliger,GRR
Copper Rockfish,Sebastes caurinus,COR
Vermilion Rockfish,Sebastes miniatus,VRR
Canary Rockfish,Sebastes pinniger,CNR
Yelloweye Rockfish,Sebastes ruberrimus,YER
Quillback Rockfish,Sebastes maliger,QBR
Brown Rockfish,Sebastes auriculatus,BRR
China Rockfish,Sebastes nebulosus,CHR
Striped Perch,Embiotoca lateralis,STP
Pile Perch,Rhacochilus vacca,PIP
Kelp Greenling-Male,Hexagrammos decagrammus,KGM
Kelp Greenling-Female,Hexagrammos decagrammus,KGF
Kelp Greenling-Juvenile,Hexagrammos decagrammus,KGJ
Whitespotted Greenling,Hexagrammos stelleri,WSG
Lingcod,Ophiodon elongatus,LIN
Cabezon,Scorpaenichthys marmoratus,CAB
Red Irish Lord,Hemilepidotus hemilepidotus,RRIL
Buffalo Sculpin,Enophrys bison,BFS
Wolf Eel,Anarrhichthys ocellatus,WFE
Spotted Ratfish,Hydrolagus colliei,SPR
Bull Kelp,Nerocystis luetkeana,BK
Woody Kelp,Pterygophora californica,WK
Torn Kelp,Laminaria setchellii,TK
Feather Boa Kelp,Egregia menziesii,FB
Giant Kelp,Macrocystis pyrifera,GK
Broad Ribbed Kelp,Pleurophycus gardneri,RK
Wire Weed,Sargassum muticum,WW
Red Abalone,Haliotis rufescens,RDA
Flat Abalone,Haliotis walallensis,FLA
Flat Abalone,Haliotis kamtschatkana,PTA
Giant Pacific Octopus,Enteroctopus dofleini,GPO
California Sea Cucumber,Parastichopus californicus,CAC
Gumboot Chiton,Cryptochiton stelleri,GBC
Giant Plumose Anemone,Metridium farcimen,PLA
Large Anemone,,LGA
Rock Scallop,Crassadoma giganteum,RKS
Bat Star,Patiria miniata,BTS
Short Spined Sea Star,Pisaster brevispinus,SSS
Giant Spined Sea Star,Pisaster giganteus,GSS
Leather Star,Dermasterias imbricata,LHS
Ochre Star,Pisaster ochraceus,OCS
Mottled Star,Evasterias troschelii,FOS
Blood Star,Henricia leviuscula,BDS
Rainbow Star,Orthasterias koehleri,RBS
Sunflower Star,Pycnopodia helianthoides,SFS
Dawson's Sun Star,Solaster dawsoni,DSN
Blue Striped Sun Star,Solaster stimpsoni,SSN
Kelp Crab,Pugettia spp.,KPC
Rock Crab,Cancer spp.,RKC
Masking Crab,Loxorhynchus crispatus,MKC
Red Urchin,Mesocentrotus franciscanus,RDU
Purple Urchin,Strongylocentrotus purpuratus,PPU
Green Urchin,Strongylocentrotus droebachiensis,GRU
Wolf Eel,Anarrhichthys ocellatus,WFE
