Pile Perch,Rhacochilus vacca,PIP
Striped Perch,Embiotoca lateralis,STP
Shiner Perch,Cymatogaster aggregata,SHP
Kelp Perch,Brachyistius frenatus,KLP
Black Rockfish,Sebastes melanops,BLK
Brown Rockfish,Sebastes auriculatus,BRR
China Rockfish,Sebastes nebulosus,CHR
Copper Rockfish,Sebastes caurinus,COR
Gopher Rockfish,Sebastes carnatus,GOR
Grass Rockfish,Sebastes rastrelliger,GRR
Puget Sound Rockfish,Sebastes emphaeus,PSR
Quillback Rockfish,Sebastes maliger,QBR
Vermilion Rockfish,Sebastes miniatus,VRR
Yellowtail Rockfish,Sebastes flavidus,YTR
Canary Rockfish,Sebastes pinniger,CNR
Yelloweye Rockfish,Sebastes ruberrimus,YER
Blue Rockfish,Sebastes mystinus,BLU
Deacon Rockfish,Sebastes diaconus,DCR
Kelp Greenling-Male,Hexagrammos decagrammus,KGM
Kelp Greenling-Female,Hexagrammos decagrammus,KGF
Kelp Greenling-Juvenile,Hexagrammos decagrammus,KGJ
Whitespotted Greenling,Hexagrammos stelleri,WSG
Buffalo Sculpin,Enophrys bison,BFS
Cabezon,Scorpaenichthys marmoratus,CAB
Red Irish Lord,Hemilepidotus hemilepidotus,RIL
Lingcod,Ophiodon elongatus,LIN
Wolf Eel,Anarrhichthys ocellatus,WFE
Spotted Ratfish,Hydrolagus colliei,SPR
Spiny Dogfish,Squalus suckleyi,SDF
Sixgill Shark,Hexanchus griseus,BNS
Forage Fish,,FGF
YOY-Black/Yellowtail,Sebastes spp.,YBY
YOY-Vermilion,Sebastes spp.,YVR
YOY-Brown/Copper/Quillback,Sebastes spp.,YBCQ
YOY-Puget Sound,Sebastes spp.,YPS
YOY-Blue/Deacon,Sebastes spp.,YBD
YOY-Canary,Sebastes spp.,YCN
YOY-Bocaccio,Sebastes spp.,YBC
YOY-Yelloweye,Sebastes spp.,YYE
Bull Kelp,Nereocystis luetkeana,BK
Torn Kelp,Laminaria setchellii,TN
Woody Kelp,Pterygophora californica,WD
Feather Boa Kelp,Egregia menzisii,FB
Giant Kelp,Macrocystis pyrifera,GK
Wire Weed,Sargassum muticum,WW
Sieve Kelp,"Agarum clathratum, Neoagarum fimbriatum",SV
Sugar Kelp,"Saccharina lattisima, Hedophyllum nigripes",SG
Three-ribbed Kelp,Cymathaere triplicata,3R
Broad Ribbed Kelp,Pleurophycus gardneri,BR
Winged Kelp,Alaria marginata,WG
Five-ribbed Kelp,Costaria costata,FR
Acid Weed,Desmarestia ligulata,AW
Pinto Abalone,Haliotis kamtschatkana,PTA
Rock Crab,Cancer productus,RKC
Green Crab,Carcinus maenas,GRK
Dungeness Crab,Metacarcinus magister,DGC
Kelp Crabs,Pugettia spp.,KLC
Large Anemones,Order Actinaria,LGA
Giant Plumose Anemone,Metridium farcimen,PLA
Short Spined Sea Star,Pisaster brevispinus,SSS
Bat Star,Patiria miniata,BTS
Giant-Spined Sea Star,Pisaster giganteus,GSS
Leather Star,Dermasterias imbricata,LHS
Ochre Star,Pisaster ochraceus,OCS
Blue Striped Sun Star,Solaster stimpsoni,BSS
Sunflower Star,Pycnopodia helianthoides,SFS
Mottled Star,Evasterias troschelli,MTS
Blood Star,Henricia leviuscula,BLS
Rainbow Star,Orthasterias koehleri,RBS
Dawson's Sun Star,Solaster dawsoni,DSN
Purple Sea Urchin,Strongylocentrotus purpuratus,PPU
Red Sea Urchin,Mesocentrotus franciscanus,RDU
Green Sea Urchin,Strongylocentrotus droebachiensis,GPU
Pallid Sea Urchin,Strongylocentrotus pallidus,GPU
Gumboot Chiton,Cryptochiton stelleri,GBC
California Sea Cucumber,Parastichopus californicus,CAC
Rock Scallop,Crassadoma giganteum,RKS
Giant Pacific Octopus,Enteroctopus dofleini,GPO
Hairy Triton,Fusitriton oregonensis,HRT
Slender Crabs,Metacarcinus gracilis,SLC
Piddock Clam,Zirfaea pilsbryi,PIC
Orange Burrowing Cucumber,Cucumaria miniata,OBC
